h3_cell,road_count,total_length_m,avg_lat,avg_lon,primary_ratio
8775266deffffff,12,265237.79,9.822757,-2.656341,1.00
8775228d5ffffff,33,298056.86,9.510514,-2.509458,0.00
877508d76ffffff,21,329501.99,5.711541,-2.395588,1.00
8759b1a31ffffff,2,87643.81,14.817539,-2.428244,0.00
87390d720ffffff,121,862356.60,40.021525,-2.542245,0.98
87390b896ffffff,610,3305010.05,38.530479,-2.465240,0.09
873908a5dffffff,538,212198.85,39.514411,-2.488057,0.00
8759b3256ffffff,441,615967.80,13.502165,-2.501728,0.00
87599234dffffff,99,863226.34,11.058937,-2.498153,0.44
873824149ffffff,655,1607802.78,37.434197,-2.419475,0.00
87599519affffff,12,191993.50,12.720985,-2.444859,1.00
877501333ffffff,103,525185.89,6.706086,-2.513241,0.00
873831bb3ffffff,251,669969.91,34.628963,-2.516668,0.42
8759a4a08ffffff,1,20201.52,17.501669,-2.324172,0.00
8759b3362ffffff,8,145439.34,13.698178,-2.569021,1.00
875986d01ffffff,150,1421679.64,13.921794,-2.428979,0.00
875995131ffffff,21,183407.84,12.935753,-2.450629,0.00
875986ca1ffffff,53,179075.66,13.726283,-2.408524,0.00
87752675bffffff,36,48357.42,9.915616,-2.462189,0.00
873824b16ffffff,119,233006.77,37.686912,-2.473659,0.00
8738240d3ffffff,150,713539.10,37.101901,-2.487543,0.00
873824a86ffffff,15,114784.12,37.462552,-2.363622,0.00
875993ca1ffffff,61,443500.37,11.115536,-2.423768,0.00
873908226ffffff,8,203796.64,39.176454,-2.581318,1.00
8738225abffffff,85,2110379.60,35.064208,-2.585483,1.00
873976424ffffff,711,933546.37,41.029590,-2.491499,0.16
873976913ffffff,572,865120.49,41.732556,-2.472737,0.14
8738310deffffff,261,577844.73,34.151879,-2.469043,0.00
87750126effffff,30,584830.61,6.452039,-2.418505,1.00
875993930ffffff,22,735239.00,11.586684,-2.287539,0.00
87390d0d3ffffff,407,1178768.79,40.053874,-2.476476,0.12
87392920dffffff,474,1614865.13,42.076445,-2.423712,0.23
873929adbffffff,96,767471.84,42.265970,-2.522570,0.00
875990a32ffffff,165,375699.56,12.168191,-2.473479,0.00
873908aedffffff,14,138590.78,39.464212,-2.521781,0.43
877508749ffffff,58,152355.53,5.030508,-2.430368,0.41
8759a634cffffff,3,45791.93,16.350718,-2.494837,0.00
87390b916ffffff,116,779092.08,38.801226,-2.526936,0.00
8775266eeffffff,22,461692.11,9.844980,-2.569089,0.00
8759958f2ffffff,4,19530.90,13.053788,-2.424183,0.00
8759951aaffffff,33,169709.15,12.809774,-2.429900,0.00
87750502effffff,49,1269038.40,7.726899,-2.315074,0.00
87390d604ffffff,57,192830.59,39.863921,-2.406521,0.02
87390d7a9ffffff,154,403311.28,39.869892,-2.503548,0.00
877505c62ffffff,19,86462.81,7.990041,-2.390532,0.00
8739292c6ffffff,35,105249.20,41.942017,-2.409314,0.40
87392922cffffff,173,799920.33,42.128928,-2.481686,0.00
8759a4394ffffff,8,44486.90,17.102660,-2.431460,0.00
87382470bffffff,850,1481371.80,36.987870,-2.433348,0.00
8759b36d1ffffff,26,1159028.89,13.103162,-2.745610,0.00
873824a54ffffff,24,779922.23,37.621599,-2.150858,1.00
87752204dffffff,30,466514.88,9.202549,-2.529982,0.00
8759b1681ffffff,30,346674.80,14.047132,-2.529127,0.00
873908329ffffff,7,62256.81,39.290918,-2.570546,1.00
873908256ffffff,74,585700.88,39.099419,-2.401547,0.28
87556908dffffff,3,47461.48,18.111661,-2.381014,0.00
87599076dffffff,11,210184.55,11.727943,-2.424482,1.00
873929a4effffff,9643,1561457.65,42.466805,-2.457307,0.15
877501850ffffff,1,6264.90,7.047277,-2.401732,0.00
87390db10ffffff,269,76241.59,40.631989,-2.428102,0.40
877501819ffffff,76,195958.71,7.085262,-2.466202,0.00
87752214cffffff,1,2453.40,9.342091,-2.493274,0.00
87599341cffffff,13,562548.41,10.795504,-2.236016,1.00
873908a50ffffff,3,13852.72,39.497000,-2.549003,1.00
87392921effffff,769,761533.83,42.007840,-2.503316,0.06
87390d709ffffff,125,927626.96,39.961178,-2.415263,0.64
8759b1334ffffff,30,137437.14,14.594929,-2.418556,0.00
87599582dffffff,19,408316.54,13.214277,-2.417729,1.00
8759a6a63ffffff,1,15170.09,16.631689,-2.592738,0.00
873929a59ffffff,3374,1208696.12,42.430738,-2.455410,0.12
87390d029ffffff,120,254518.09,40.290081,-2.509854,0.07
87750132effffff,128,457755.36,6.679602,-2.453286,0.00
87383171bffffff,341,493970.53,33.993977,-2.482912,0.00
8759a5c9dffffff,25,6145248.32,17.259908,-2.017633,0.00
87750854dffffff,24,201468.15,5.384248,-2.542869,0.00
87383321cffffff,5,109550.80,33.184735,-2.535070,0.00
8759906ecffffff,9,273615.17,11.489274,-2.392926,1.00
8759b3a6affffff,33,415038.69,13.932532,-2.564482,0.00
875993d98ffffff,108,965391.44,11.133252,-2.493329,0.00
8775013abffffff,64,1184994.57,6.647606,-2.582244,0.00
875934d96ffffff,3,320433.63,21.972572,-2.508831,1.00
877505393ffffff,7,313128.11,7.483758,-2.360575,1.00
877522ab5ffffff,123,696874.95,9.304380,-2.425825,0.06
875995132ffffff,48,467730.37,12.912664,-2.468690,0.00
87390bc62ffffff,803,1740503.48,38.468294,-2.492102,0.00
8759a46f5ffffff,5,32044.83,16.764882,-2.438591,0.00
873929acbffffff,1260,1792889.06,42.310516,-2.480002,0.00
873885b94ffffff,5,1121493.50,27.687607,-2.927165,1.00
873815908ffffff,9,118082.26,32.940817,-2.413312,0.00
87383322effffff,54,366173.45,33.264261,-2.520673,0.00
8759a24f0ffffff,36,86410.66,15.073435,-2.498086,0.00
873815432ffffff,8,353824.09,32.087908,-2.557008,0.00
877501b9bffffff,656,723021.16,6.862149,-2.444541,0.02
8759a2464ffffff,34,677076.54,15.269435,-2.426621,0.00
8759958f4ffffff,35,196229.32,13.072848,-2.424164,0.00
877501170ffffff,11,400041.74,6.958587,-2.560225,1.00
8759954ecffffff,38,438679.88,12.469987,-2.433244,0.00
873929365ffffff,530,1351499.25,42.289326,-2.462202,0.13
875990751ffffff,24,458584.48,11.633634,-2.471270,1.00
877526096ffffff,5,118116.62,10.252002,-2.536041,0.00
875990b08ffffff,12,121396.51,12.275830,-2.460454,1.00
87750e86cffffff,5,86440.56,6.214688,-2.606057,0.00
877501274ffffff,18,101433.65,6.514661,-2.460081,0.00
873824b00ffffff,162,658395.44,37.739724,-2.400334,0.00
87752355dffffff,26,1909422.85,8.631210,-2.271649,1.00
873810b74ffffff,6,71620.30,31.903422,-2.336716,1.00
873908299ffffff,66,844225.30,38.923457,-2.525176,0.65
8759a6296ffffff,11,291110.30,16.030634,-2.680857,0.00
87390d16dffffff,338,1152040.42,40.453684,-2.458677,0.00
873806d90ffffff,10,337182.90,33.474495,-2.455118,0.00
873885b12ffffff,1,224298.70,27.810602,-2.874137,1.00
877522916ffffff,168,375537.59,9.769863,-2.452357,0.00
875986c9cffffff,39,370271.14,13.635811,-2.404836,0.00
8759b1630ffffff,31,712952.51,14.177540,-2.550711,0.00
873831a15ffffff,61,1571889.02,34.636317,-2.319812,1.00
87750130bffffff,353,1842622.11,6.614726,-2.483561,0.11
87390b1b5ffffff,228,3758022.10,38.343450,-2.396936,1.00
873824b14ffffff,291,1112440.33,37.709923,-2.458536,0.08
8759b1b84ffffff,11,369598.32,14.813643,-2.551528,0.00
877526c34ffffff,9,189512.90,10.645143,-2.482947,1.00
877526d02ffffff,43,505460.71,10.693757,-2.443122,0.44
873831171ffffff,46,728755.12,34.496141,-2.570658,1.00
8759954d9ffffff,9,9867.08,12.358593,-2.422153,0.00
873806d05ffffff,3,114450.51,33.700625,-2.343637,1.00
87599222dffffff,15,731559.86,10.989923,-2.568113,1.00
87390835cffffff,101,388156.74,39.232273,-2.454619,0.00
877501ba3ffffff,9,196621.64,6.919923,-2.375579,1.00
875995d64ffffff,16,713248.55,13.104722,-2.671952,0.00
87383320cffffff,57,616113.79,33.221647,-2.478973,0.37
875990b88ffffff,4,7961.16,12.158280,-2.497951,0.00
877504b72ffffff,11,52277.40,8.474312,-2.513905,0.00
87390d72dffffff,251,773171.31,40.037527,-2.459809,0.00
8759a4254ffffff,15,3687148.99,17.134652,-2.150777,0.00
875990a84ffffff,8,103590.47,12.068704,-2.483985,1.00
875993c92ffffff,10,59119.38,11.006356,-2.466843,1.00
8738ac943ffffff,10,224585.53,30.040811,-2.297907,1.00
873810a95ffffff,11,16640.71,31.553693,-2.404887,0.82
877501ad2ffffff,283,259233.46,6.698098,-2.436295,0.00
8759a62e6ffffff,3,92354.46,16.131203,-2.526126,0.00
8775050a6ffffff,13,379033.69,7.768370,-2.459915,1.00
873976ce0ffffff,21,115862.36,41.276657,-2.528477,0.00
8755696ecffffff,6,23757.83,17.766711,-2.515347,0.00
875995130ffffff,19,65244.49,12.932891,-2.470030,0.00
87383106effffff,19,211140.96,34.398511,-2.398660,1.00
877501985ffffff,89,1546824.65,7.257507,-2.511833,0.35
877505c76ffffff,55,55786.48,8.021281,-2.436312,0.00
8759b1040ffffff,23,262231.17,14.558135,-2.491639,0.00
873815903ffffff,45,356183.65,32.931395,-2.454163,0.00
877526548ffffff,23,296237.69,10.277221,-2.539809,0.00
8759923a5ffffff,10,487706.57,10.998126,-2.746097,1.00
87390db20ffffff,127,426256.10,40.741615,-2.414085,0.00
87390b932ffffff,5,55963.75,38.847590,-2.537449,0.00
87392928bffffff,784,859419.14,41.887585,-2.480662,0.10
8759a0980ffffff,2,72712.47,16.750367,-2.243265,0.00
8739292f2ffffff,274,374504.69,41.931345,-2.462289,0.11
873929663ffffff,21,756301.79,41.808320,-2.647119,0.00
87390d611ffffff,39,95556.43,39.798409,-2.409297,0.00
87750c698ffffff,101,138277.96,5.847862,-2.446038,0.00
877508190ffffff,211,1950253.32,5.442909,-2.502332,0.22
873824072ffffff,327,2286250.18,37.302418,-2.476881,0.00
873806da5ffffff,1,14991.27,33.594853,-2.414675,0.00
873833251ffffff,4,170732.21,33.209746,-2.370761,0.00
877526c4dffffff,1,27636.67,10.402739,-2.350186,1.00
873908276ffffff,118,1034943.72,39.159839,-2.433978,0.23
873824169ffffff,118,379419.76,37.490194,-2.444254,0.00
873824159ffffff,95,502722.32,37.387791,-2.466143,0.00
877501a94ffffff,479,736528.04,6.827224,-2.492668,0.06
873806d31ffffff,2,76300.34,33.694988,-2.396810,1.00
87556978dffffff,3,39423.67,17.976497,-2.581813,0.00
87390d0d8ffffff,482,1217968.33,40.057456,-2.423441,0.13
8739082daffffff,28,409995.03,38.926766,-2.379532,1.00
875569180ffffff,3,94059.78,18.305612,-2.374425,0.00
87750571affffff,21,508645.49,7.567666,-2.590366,1.00
875993c81ffffff,8,103497.11,11.058993,-2.399644,1.00
873976915ffffff,5572,1172229.70,41.767676,-2.478962,0.12
873929343ffffff,311,552826.88,42.199731,-2.422384,0.00
873908a6bffffff,212,670883.23,39.578164,-2.449383,0.00
873908356ffffff,450,1615279.64,39.219837,-2.517139,0.03
873976900ffffff,547,1012708.85,41.794462,-2.445775,0.05
8759a28c0ffffff,7,232198.89,15.721266,-2.346864,0.00
875990ab0ffffff,36,349212.73,12.060374,-2.515643,0.19
877526ce2ffffff,122,772046.48,10.482872,-2.499970,0.20
877501ab3ffffff,284,442816.05,6.823188,-2.474582,0.04
873831b83ffffff,555,2958293.71,34.615916,-2.448105,0.16
8759935b6ffffff,25,107879.21,10.840102,-2.455159,0.00
873929276ffffff,267,754049.62,42.098799,-2.417808,0.00
8759a625cffffff,3,75442.48,16.172517,-2.432009,0.00
877522309ffffff,146,282231.54,9.062591,-2.446234,0.00
877526d51ffffff,3,49275.53,10.590688,-2.373106,0.00
8759a271affffff,4,143508.90,15.127868,-2.242308,1.00
8759b1b85ffffff,16,101456.31,14.813131,-2.531304,0.00
8738224a3ffffff,52,922494.27,34.950814,-2.535639,1.00
87752231cffffff,9,4782.58,9.121596,-2.496788,0.00
87390d600ffffff,1,3609.38,39.843070,-2.396081,1.00
875986d1cffffff,88,732717.20,13.879968,-2.449624,0.32
8759922eeffffff,16,427080.89,10.852869,-2.504098,0.81
873976c6effffff,206,429337.67,41.415889,-2.423300,0.16
8775228d1ffffff,8,53429.69,9.492247,-2.517483,0.00
8739082d2ffffff,157,706551.21,38.932297,-2.444455,0.09
87390b40cffffff,59,155843.93,38.019538,-2.404152,0.00
8738240ecffffff,379,2436823.29,37.228726,-2.432775,0.11
877505296ffffff,324,575356.60,7.402237,-2.424624,0.09
875995c59ffffff,15,186120.59,12.857016,-2.508108,0.00
875986d0effffff,59,716390.55,13.905818,-2.418756,0.00
873812272ffffff,2,192237.45,30.299860,-2.449118,1.00
87390d0ccffffff,151,731692.98,40.124300,-2.403579,0.87
877526c15ffffff,12,252683.87,10.593701,-2.508380,1.00
873929376ffffff,51,338697.66,42.227880,-2.536812,1.00
8759b325affffff,322,578156.04,13.470798,-2.439403,0.00
873831045ffffff,35,388943.87,34.386965,-2.391866,1.00
8759a5818ffffff,17,4178768.85,17.657803,-1.726582,0.00
87556dd84ffffff,1,132296.60,19.672333,-2.165680,0.00
8775019aaffffff,242,1503124.78,7.237771,-2.503017,0.10
8738224d4ffffff,48,169884.66,34.910018,-2.417056,0.00
875995903ffffff,27,580239.29,13.262494,-2.541364,1.00
8759b3259ffffff,159,498686.33,13.493573,-2.418493,0.03
87390b499ffffff,169,524469.25,37.811640,-2.460091,0.00
8759b161cffffff,56,695381.78,14.138534,-2.490909,0.00
87750c685ffffff,26,275407.81,5.878905,-2.400511,1.00
877501314ffffff,20,198768.02,6.711520,-2.542607,1.00
87382242effffff,344,1187602.59,35.105832,-2.451130,0.09
87390db85ffffff,457,445386.53,40.556434,-2.435949,0.37
8738ae4d9ffffff,4,897194.80,27.977180,-2.722083,1.00
877501325ffffff,70,65003.33,6.706465,-2.445205,0.00
87750819dffffff,71,415854.63,5.391193,-2.474294,0.00
875990672ffffff,26,381462.03,11.553879,-2.433937,0.31
87556dd8effffff,1,132296.60,19.619629,-2.170144,0.00
8759a24e3ffffff,46,215672.16,15.096897,-2.452084,0.00
873831b33ffffff,454,1052931.28,34.773986,-2.460188,0.00
8738ae4daffffff,6,1345792.20,27.951429,-2.743676,1.00
8738159a4ffffff,34,610429.62,32.876064,-2.577898,0.00
8759b32ddffffff,27,162788.55,13.380856,-2.474216,0.00
873822404ffffff,184,993240.61,35.079475,-2.485553,0.19
87390d0c5ffffff,173,365802.03,40.139326,-2.439014,0.16
8739082adffffff,158,369045.83,39.041489,-2.520875,0.14
8775019a0ffffff,220,432910.82,7.290931,-2.501841,0.00
873929a40ffffff,1740,1198129.84,42.480741,-2.504424,0.02
873974da4ffffff,3537,1713339.60,42.430847,-2.421427,0.12
87390d148ffffff,194,943455.69,40.376110,-2.442923,0.12
875986d9cffffff,28,127118.76,13.747127,-2.487096,0.00
873824868ffffff,13,27878.86,37.762657,-2.526121,0.00
8759b16d2ffffff,41,347305.50,13.986194,-2.440671,0.00
877526650ffffff,30,127487.66,9.862330,-2.519766,0.00
87390d69cffffff,444,593260.98,39.659543,-2.440168,0.00
87381425affffff,47,2280771.08,32.121812,-2.748449,0.00
875990323ffffff,1,35977.10,11.959547,-2.386243,1.00
875995956ffffff,18,95831.33,13.251455,-2.465170,0.00
873824b95ffffff,76,425048.48,37.563689,-2.496108,0.00
877526198ffffff,10,301147.81,10.299643,-2.461993,1.00
877508ceaffffff,4,12185.37,5.519444,-2.502726,0.00
873815508ffffff,12,702875.69,32.215740,-2.523206,1.00
873974d86ffffff,153,414895.91,42.360437,-2.405363,0.00
87390b4dcffffff,10,363105.24,37.846248,-2.334941,1.00
87599340effffff,8,346183.64,10.808245,-2.208593,1.00
873909d81ffffff,10,241415.42,39.432838,-2.371420,1.00
877522346ffffff,15,579098.37,9.040389,-2.407834,0.00
877522119ffffff,8,390048.14,9.432192,-2.634310,1.00
875990b2affffff,781,679413.34,12.305203,-2.480404,0.05
875995873ffffff,3,71550.40,13.176293,-2.366484,1.00
877508cecffffff,74,1407191.99,5.542290,-2.491377,0.61
877522815ffffff,269,2479887.01,9.629990,-2.461285,0.07
875992273ffffff,27,282117.20,10.939917,-2.508868,0.00
877501983ffffff,60,669279.03,7.242830,-2.540840,0.15
87397691affffff,614,1612977.61,41.719203,-2.424201,0.00
877508758ffffff,111,224481.38,5.054499,-2.487424,0.09
8759a6a69ffffff,1,15170.09,16.643206,-2.526081,0.00
87390d050ffffff,605,1479988.85,40.215391,-2.430791,0.16
875992369ffffff,83,611723.96,11.093502,-2.505139,0.27
877508180ffffff,82,1397782.21,5.424896,-2.456896,0.60
8738240e4ffffff,452,1756197.38,37.239114,-2.505739,0.32
8759a28f2ffffff,34,1127823.18,15.713101,-2.408843,0.00
877526c70ffffff,33,489494.01,10.513620,-2.400832,0.00
877501160ffffff,42,588096.23,6.947354,-2.506285,0.00
873974d16ffffff,114,854751.23,42.453433,-2.385415,1.00
877501a34ffffff,8,280509.86,6.855565,-2.325646,1.00
87750c4caffffff,48,1908719.30,6.059747,-2.459261,0.00
87752225dffffff,41,152670.26,8.857311,-2.451654,0.00
87556911dffffff,1,42006.86,18.286599,-2.254651,0.00
